"Year" "HPI"
"1" 1975 18.36
"2" 1976 21.36
"3" 1977 25.7
"4" 1978 30.42
"5" 1979 35.75
"6" 1980 41.84
"7" 1981 45.48
"8" 1982 46.6
"9" 1983 47.61
"10" 1984 49.09
"11" 1985 51.87
"12" 1986 55.53
"13" 1987 61.38
"14" 1988 74.33
"15" 1989 92.54
"16" 1990 97.16
"17" 1991 95.46
"18" 1992 93.56
"19" 1993 86.81
"20" 1994 81.78
"21" 1995 78.17
"22" 1996 77.57
"23" 1997 78.78
"24" 1998 86.39
"25" 1999 91.67
"26" 2000 100
"27" 2001 109.44
"28" 2002 123.02
"29" 2003 137.42
"30" 2004 168.95
"31" 2005 211.96
"32" 2006 245.66
"33" 2007 245.43
"34" 2008 203.23
"35" 2009 172.04
"36" 2010 170.69
"37" 2011 162.84
"38" 2012 161.16
"39" 2013 176.7
"40" 2014 200.99
"41" 2015 211.83
"42" 2016 228.05
