"DATE"	"ATNHPIUS06037A"
75£¯1£¯1	18.36
76£¯1£¯1	21.36
77£¯1£¯1	25.7
78£¯1£¯1	30.42
79£¯1£¯1	35.75
80£¯1£¯1	41.84
81£¯1£¯1	45.48
82£¯1£¯1	46.6
83£¯1£¯1	47.61
84£¯1£¯1	49.09
85£¯1£¯1	51.87
86£¯1£¯1	55.53
87£¯1£¯1	61.38
88£¯1£¯1	74.33
89£¯1£¯1	92.54
90£¯1£¯1	97.16
91£¯1£¯1	95.46
92£¯1£¯1	93.56
93£¯1£¯1	86.81
94£¯1£¯1	81.78
95£¯1£¯1	78.17
96£¯1£¯1	77.57
97£¯1£¯1	78.78
98£¯1£¯1	86.39
99£¯1£¯1	91.67
00£¯1£¯1	100
01£¯1£¯1	109.44
02£¯1£¯1	123.02
03£¯1£¯1	137.42
04£¯1£¯1	168.95
05£¯1£¯1	211.96
06£¯1£¯1	245.66
07£¯1£¯1	245.43
08£¯1£¯1	203.23
09£¯1£¯1	172.04
10£¯1£¯1	170.69
11£¯1£¯1	162.84
12£¯1£¯1	161.16
13£¯1£¯1	176.7
14£¯1£¯1	200.99
15£¯1£¯1	211.83
16£¯1£¯1	228.05
