"DATE"	"CALOSA7URN"
90£¯1£¯1	6
90£¯2£¯1	5.7
90£¯3£¯1	5.4
90£¯4£¯1	5.6
90£¯5£¯1	5.5
90£¯6£¯1	5.3
90£¯7£¯1	6.2
90£¯8£¯1	6.1
90£¯9£¯1	6.2
90£¯10£¯1	6
90£¯11£¯1	6.3
90£¯12£¯1	6.4
91£¯1£¯1	6.8
91£¯2£¯1	7.6
91£¯3£¯1	7.6
91£¯4£¯1	7.3
91£¯5£¯1	7.9
91£¯6£¯1	8.2
91£¯7£¯1	8.7
91£¯8£¯1	8.4
91£¯9£¯1	8.4
91£¯10£¯1	8.3
91£¯11£¯1	8.2
91£¯12£¯1	8.4
92£¯1£¯1	9.5
92£¯2£¯1	9.6
92£¯3£¯1	9.3
92£¯4£¯1	9
92£¯5£¯1	9.5
92£¯6£¯1	10.3
92£¯7£¯1	10.7
92£¯8£¯1	10.4
92£¯9£¯1	10.4
92£¯10£¯1	9.9
92£¯11£¯1	10.1
92£¯12£¯1	9.9
93£¯1£¯1	10.7
93£¯2£¯1	10.7
93£¯3£¯1	10.3
93£¯4£¯1	9.9
93£¯5£¯1	9.7
93£¯6£¯1	9.9
93£¯7£¯1	10.2
93£¯8£¯1	9.8
93£¯9£¯1	9.7
93£¯10£¯1	9.8
93£¯11£¯1	9.6
93£¯12£¯1	9.2
94£¯1£¯1	10.5
94£¯2£¯1	10.2
94£¯3£¯1	9.9
94£¯4£¯1	9.7
94£¯5£¯1	9.2
94£¯6£¯1	9.4
94£¯7£¯1	9.9
94£¯8£¯1	9.4
94£¯9£¯1	8.9
94£¯10£¯1	8.5
94£¯11£¯1	8
94£¯12£¯1	7.5
95£¯1£¯1	8.5
95£¯2£¯1	7.9
95£¯3£¯1	7.5
95£¯4£¯1	7.8
95£¯5£¯1	7.5
95£¯6£¯1	7.8
95£¯7£¯1	8.7
95£¯8£¯1	8.4
95£¯9£¯1	8.3
95£¯10£¯1	8
95£¯11£¯1	8.2
95£¯12£¯1	7.8
96£¯1£¯1	9.1
96£¯2£¯1	8.7
96£¯3£¯1	8.6
96£¯4£¯1	8.3
96£¯5£¯1	8.3
96£¯6£¯1	8
96£¯7£¯1	8.8
96£¯8£¯1	7.9
96£¯9£¯1	7.7
96£¯10£¯1	7.5
96£¯11£¯1	7.6
96£¯12£¯1	7.2
97£¯1£¯1	8
97£¯2£¯1	7.6
97£¯3£¯1	7.3
97£¯4£¯1	6.9
97£¯5£¯1	6.7
97£¯6£¯1	6.8
97£¯7£¯1	7.2
97£¯8£¯1	6.9
97£¯9£¯1	6.7
97£¯10£¯1	6.3
97£¯11£¯1	6.1
97£¯12£¯1	6
98£¯1£¯1	6.7
98£¯2£¯1	6.4
98£¯3£¯1	6.7
98£¯4£¯1	6.1
98£¯5£¯1	6.2
98£¯6£¯1	6.6
98£¯7£¯1	7.2
98£¯8£¯1	6.9
98£¯9£¯1	7
98£¯10£¯1	6.8
98£¯11£¯1	6.4
98£¯12£¯1	6
