"Year" "HPI"
"4" 1978 44.61
"8" 1979 52.82
"12" 1980 58.84
"16" 1981 63.86
"20" 1982 70.62
"24" 1983 76.07
"28" 1984 83.33
"32" 1985 94.27
"36" 1986 97.9
"40" 1987 93.97
"44" 1988 79.67
"48" 1989 73.32
"52" 1990 72.88
"56" 1991 75.07
"60" 1992 80.29
"64" 1993 87.74
"68" 1994 96.92
"72" 1995 100
"76" 1996 105.99
"80" 1997 107.23
"84" 1998 110.84
"88" 1999 116.67
"92" 2000 130.83
"96" 2001 148.63
"100" 2002 150.86
"104" 2003 154.24
"108" 2004 154.23
"112" 2005 158.29
"116" 2006 168.98
"120" 2007 186
"124" 2008 198.22
"128" 2009 199.7
"132" 2010 194.43
"136" 2011 190.87
"140" 2012 194.65
"144" 2013 205.64
"148" 2014 228.36
"152" 2015 250.66
"156" 2016 276.47
"160" 2017 298.54
