"DATE"	"AUST448URN"
90£¯1£¯1	4.9
90£¯2£¯1	4.8
90£¯3£¯1	4.6
90£¯4£¯1	4.7
90£¯5£¯1	4.8
90£¯6£¯1	5.4
90£¯7£¯1	5.3
90£¯8£¯1	5.1
90£¯9£¯1	5
90£¯10£¯1	4.7
90£¯11£¯1	4.7
90£¯12£¯1	4.4
91£¯1£¯1	4.3
91£¯2£¯1	4.4
91£¯3£¯1	4.3
91£¯4£¯1	4.1
91£¯5£¯1	4.3
91£¯6£¯1	4.8
91£¯7£¯1	4.7
91£¯8£¯1	4.7
91£¯9£¯1	4.6
91£¯10£¯1	4.6
91£¯11£¯1	4.5
91£¯12£¯1	4.3
92£¯1£¯1	4.6
92£¯2£¯1	4.4
92£¯3£¯1	4.2
92£¯4£¯1	3.9
92£¯5£¯1	4.1
92£¯6£¯1	4.6
92£¯7£¯1	4.5
92£¯8£¯1	4.2
92£¯9£¯1	4.1
92£¯10£¯1	3.9
92£¯11£¯1	4
92£¯12£¯1	3.9
93£¯1£¯1	4.2
93£¯2£¯1	3.9
93£¯3£¯1	3.6
93£¯4£¯1	3.4
93£¯5£¯1	3.4
93£¯6£¯1	3.9
93£¯7£¯1	3.8
93£¯8£¯1	3.6
93£¯9£¯1	3.6
93£¯10£¯1	3.5
93£¯11£¯1	3.4
93£¯12£¯1	3.2
94£¯1£¯1	3.7
94£¯2£¯1	3.5
94£¯3£¯1	3.3
94£¯4£¯1	3.1
94£¯5£¯1	3
94£¯6£¯1	3.4
94£¯7£¯1	3.4
94£¯8£¯1	3.4
94£¯9£¯1	3.1
94£¯10£¯1	3
94£¯11£¯1	2.9
94£¯12£¯1	2.7
95£¯1£¯1	3.1
95£¯2£¯1	2.8
95£¯3£¯1	2.8
95£¯4£¯1	2.7
95£¯5£¯1	2.7
95£¯6£¯1	3.1
95£¯7£¯1	3.1
95£¯8£¯1	3.1
95£¯9£¯1	3.1
95£¯10£¯1	2.9
95£¯11£¯1	2.9
95£¯12£¯1	2.7
96£¯1£¯1	3.2
96£¯2£¯1	2.9
96£¯3£¯1	2.9
96£¯4£¯1	2.7
96£¯5£¯1	2.9
96£¯6£¯1	3.2
96£¯7£¯1	3.2
96£¯8£¯1	2.9
96£¯9£¯1	3
96£¯10£¯1	3.1
96£¯11£¯1	3.3
96£¯12£¯1	3.1
97£¯1£¯1	3.5
97£¯2£¯1	3.3
97£¯3£¯1	3.2
97£¯4£¯1	2.8
97£¯5£¯1	2.8
97£¯6£¯1	3.3
97£¯7£¯1	3.2
97£¯8£¯1	3.1
97£¯9£¯1	3.1
97£¯10£¯1	2.8
97£¯11£¯1	2.7
97£¯12£¯1	2.6
98£¯1£¯1	3
98£¯2£¯1	2.7
98£¯3£¯1	2.7
98£¯4£¯1	2.3
98£¯5£¯1	2.5
98£¯6£¯1	3
98£¯7£¯1	2.9
98£¯8£¯1	2.9
98£¯9£¯1	2.9
98£¯10£¯1	2.6
98£¯11£¯1	2.4
98£¯12£¯1	2.2
99£¯1£¯1	2.5
99£¯2£¯1	2.3
99£¯3£¯1	2.1
99£¯4£¯1	2.1
99£¯5£¯1	2.1
99£¯6£¯1	2.5
99£¯7£¯1	2.4
99£¯8£¯1	2.2
99£¯9£¯1	2.3
99£¯10£¯1	2.2
99£¯11£¯1	2.1
99£¯12£¯1	2
00£¯1£¯1	3.4
00£¯2£¯1	3.2
00£¯3£¯1	3.2
00£¯4£¯1	2.8
00£¯5£¯1	3
00£¯6£¯1	3.4
00£¯7£¯1	3.2
00£¯8£¯1	3.1
00£¯9£¯1	2.9
00£¯10£¯1	2.7
00£¯11£¯1	2.7
00£¯12£¯1	2.3
01£¯1£¯1	3
01£¯2£¯1	3.1
01£¯3£¯1	3.4
01£¯4£¯1	3.5
01£¯5£¯1	3.8
01£¯6£¯1	4.6
01£¯7£¯1	4.6
01£¯8£¯1	5
01£¯9£¯1	5
01£¯10£¯1	5.1
01£¯11£¯1	5.3
01£¯12£¯1	5.2
02£¯1£¯1	5.9
02£¯2£¯1	5.8
02£¯3£¯1	5.8
02£¯4£¯1	5.8
02£¯5£¯1	5.7
02£¯6£¯1	6.3
02£¯7£¯1	6.2
02£¯8£¯1	6
02£¯9£¯1	5.8
02£¯10£¯1	5.6
02£¯11£¯1	5.8
02£¯12£¯1	5.6
03£¯1£¯1	6.3
03£¯2£¯1	6.1
03£¯3£¯1	6.2
03£¯4£¯1	5.9
03£¯5£¯1	5.9
03£¯6£¯1	6.7
03£¯7£¯1	6.3
03£¯8£¯1	6.1
03£¯9£¯1	6
03£¯10£¯1	5.6
03£¯11£¯1	5.5
03£¯12£¯1	5
04£¯1£¯1	5.7
04£¯2£¯1	5.3
04£¯3£¯1	5.3
04£¯4£¯1	4.9
04£¯5£¯1	4.8
04£¯6£¯1	5.4
04£¯7£¯1	5.2
04£¯8£¯1	4.9
